Location, Z3 Time, Yices Time,
Wonderland,277.362386,24.847469,
Revere Beach ,310.657144,24.775672,
Beachmont ,342.154518,24.778091,
Suffolk Downs ,224.720297,19.997248,
Orient Heights ,235.793171,20.949559,
Wood Island ,249.114774,22.280526,
Airport ,108.180541,9.692744,
Maverick ,0.902706,0.080297,
Aquarium ,240.389345,21.426594,
State Street ,318.619994,21.499869,
Government Center ,247.0559,21.641411,
Bowdoin,237.119338,21.470861,
Bowdoin,261.368262,21.485801,
Government Center ,257.980604,21.462512,
State Street ,272.857495,21.464119,
Aquarium ,286.47512,21.457592,
Maverick ,1.028399,0.079785,
Airport ,131.625047,9.697764,
Wood Island ,281.890484,22.254395,
Orient Heights ,306.00625,21.019231,
Suffolk Downs ,295.171563,19.798078,
Beachmont ,363.465542,24.322899,
Revere Beach ,363.133143,24.377732,
Wonderland,313.946781,24.668994,
Ashmont ,105.654469,8.935052,
Cedar Grove ,125.395528,9.017463,
Butler ,124.341564,8.935527,
Milton ,324.658191,24.644971,
Central Avenue ,342.323622,24.479909,
Valley Road ,300.858746,26.121957,
Capen Street ,328.999434,24.493094,
Mattapan ,9.245648,0.77443,
Mattapan ,10.761366,0.772493,
Capen Street ,351.153223,24.46777,
Valley Road ,326.139916,24.517403,
Central Avenue ,306.621025,24.488696,
Milton ,357.616191,24.572408,
Butler ,123.911927,8.894941,
Cedar Grove ,123.62097,8.938185,
Ashmont ,140.108891,8.942735,
Lechmere ,361.844117,24.438727,
Science Park ,356.12187,23.917174,
North Station ,297.920658,23.624612,
Haymarket ,500,21.142897,
Government Center ,286.46579,21.343832,
Park Street ,15.73701,0.924931,
Boylston ,18.726925,0.926398,
Arlington ,40.606903,2.821162,
Copley ,35.267615,2.825962,
Prudential ,284.440064,21.327707,
Symphony ,0.428448,0.03834,
Northeastern ,30.213096,2.745443,
Museum of Fine Arts ,30.438622,2.738614,
Longwood Medical Area ,252.492449,21.538859,
Brigham Circle ,292.105285,24.193995,
Fenwood Road ,291.054692,24.178453,
Mission Park ,298.197896,24.212753,
Riverway ,206.795554,16.751549,
Back of the Hill ,197.544996,16.591295,
Heath Street ,94.879815,7.720973,
Heath Street ,94.554881,7.692676,
Back of the Hill ,197.629422,16.579002,
Riverway ,207.579457,16.524434,
Mission Park ,315.263921,24.158389,
Fenwood Road ,324.791686,24.166086,
Brigham Circle ,330.621451,24.163967,
Longwood Medical Area ,500,21.484925,
Museum of Fine Arts ,107.794354,2.742016,
Northeastern ,125.44612,2.737833,
Symphony ,1.612229,0.038208,
Prudential ,500,21.276488,
Copley ,93.59691,2.821051,
Arlington ,93.877784,2.823574,
Boylston ,28.901791,0.926693,
Park Street ,30.182304,0.92146,
Government Center ,500,21.148415,
Haymarket ,500,21.17719,
North Station ,500,23.674995,
Science Park ,446.503378,23.884972,
Lechmere ,382.662813,24.684428,
Lechmere ,379.289565,24.451508,
Science Park ,328.435521,23.983338,
North Station ,320.279282,24.005481,
Haymarket ,255.369884,21.888898,
Government Center ,260.822976,22.206132,
Park Street ,11.338742,0.987033,
Boylston ,11.586139,0.977128,
Arlington ,38.302009,2.9833,
Copley ,36.235187,2.988113,
Hynes ,217.261238,19.637733,
Kenmore ,42.722293,3.195358,
Saint Mary Street ,329.415514,26.605552,
Hawes Street ,336.78127,24.896186,
Kent Street ,321.085891,24.706452,
Saint Paul Street ,327.597955,24.840218,
Coolidge Corner ,316.804899,25.189526,
Summit Avenue ,330.22482,24.953443,
Brandon Hall ,333.775728,24.830513,
Fairbanks Street ,500,24.88043,
Washington Square ,296.495909,25.128498,
Tappan Street ,315.527591,24.81024,
Dean Road ,295.004893,24.780052,
Englewood Avenue ,294.533388,24.666628,
Cleveland Circle ,274.476173,22.861389,
Cleveland Circle ,284.529895,22.883531,
Englewood Avenue ,321.63242,24.457418,
Dean Road ,312.560266,24.491666,
Tappan Street ,284.382274,24.444888,
Washington Square ,286.947847,24.5252,
Fairbanks Street ,287.924074,24.600664,
Brandon Hall ,500,24.569088,
Summit Avenue ,328.175869,24.552333,
Coolidge Corner ,309.951347,24.601388,
Saint Paul Street ,303.148425,24.476662,
Kent Street ,314.997587,24.346423,
Hawes Street ,334.906908,24.518562,
Saint Mary Street ,293.624165,24.497005,
Kenmore ,37.679302,3.081642,
Hynes ,205.928433,17.085528,
Copley ,34.291313,2.824742,
Arlington ,33.868704,2.820414,
Boylston ,11.027654,0.920727,
Park Street ,11.020394,0.922672,
Government Center ,255.554026,21.375213,
Haymarket ,255.294108,21.19162,
North Station ,284.992773,23.677894,
Science Park ,285.868116,23.959246,
Lechmere ,292.670786,24.628027,
Oak Grove,292.832251,24.512481,
Malden ,292.102508,24.50751,
Wellington ,292.820861,24.440881,
Assembly ,294.142801,24.477468,
Sullivan Square ,267.54444,22.238261,
Community College ,266.254992,22.241787,
North Station ,282.824444,23.736406,
Haymarket ,252.418308,21.157775,
State Street ,253.064334,21.627744,
Downtown Crossing ,226.437009,19.318739,
Chinatown ,226.09825,19.27452,
Tufts Medical Center ,224.074822,19.158244,
Back Bay ,216.114001,18.470519,
Massachusetts Avenue ,32.670872,2.793374,
Ruggles ,207.289563,17.686459,
Roxbury Crossing ,193.913338,16.647045,
Jackson Square ,193.989812,16.479883,
Stony Brook ,93.47265,7.966668,
Green Street ,83.390384,7.07463,
Forest Hills Orange Line (42.300523, ,200.762828,17.15869
Forest Hills Orange Line (42.300523, ,201.178559,17.142101
Green Street ,83.545386,7.109068,
Stony Brook ,94.247737,7.94414,
Jackson Square ,193.720728,16.424931,
Roxbury Crossing ,192.775565,16.110523,
Ruggles ,207.291322,17.632892,
Massachusetts Avenue ,32.651132,2.750636,
Back Bay ,500,18.266385,
Tufts Medical Center ,299.2332,19.108445,
Chinatown ,244.857426,19.131244,
Downtown Crossing ,272.655157,19.138308,
State Street ,248.686563,22.098359,
Haymarket ,248.835045,21.648557,
North Station ,276.817355,23.959974,
Community College ,260.672815,22.569829,
Sullivan Square ,311.623678,23.011971,
Assembly ,417.160211,25.311702,
Wellington ,361.626948,25.046413,
Malden ,336.031552,24.842571,
Oak Grove,325.279781,24.825361,
Lechmere ,294.498538,24.855085,
Science Park ,309.930066,24.279,
North Station ,306.465258,24.105466,
Haymarket ,276.359027,21.668949,
Government Center ,264.436037,21.611894,
Park Street ,10.990325,0.937456,
Boylston ,10.95536,0.938226,
Arlington ,34.372168,2.870271,
Copley ,36.711028,2.87258,
Hynes ,212.650951,17.377368,
Kenmore ,42.512567,3.125282,
Fenway ,39.670209,2.978449,
Longwood ,317.327636,24.850928,
Brookline Village ,337.169932,24.898992,
Brookline Hills ,350.669145,24.814084,
Beaconsfield ,180.294786,13.761176,
Reservoir ,298.731036,24.871685,
Chestnut Hill ,301.468883,24.794438,
Newton Centre ,302.641592,24.895743,
Newton Highlands ,307.196306,31.360311,
Eliot ,180.601168,27.754759,
Waban ,282.665674,43.983909,
Woodland ,283.271061,44.063176,
Riverside ,283.678686,43.977838,
Riverside ,282.87317,44.046485,
Woodland ,285.054954,44.041912,
Waban ,284.861995,50.821872,
Eliot ,179.791433,53.858945,
Newton Highlands ,284.727514,85.199855,
Newton Centre ,284.278771,85.350792,
Chestnut Hill ,284.154588,229.868703,
